   i     radius            mass              density           energy            temp              abar              zbar
    1  6.9599699824E+04  7.5451587944E-12  1.0627622036E+07  1.6053808815E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    2  8.2817574870E+04  1.2711997511E-11  1.0627621778E+07  1.6053808609E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    3  1.0090916208E+05  2.2995245870E-11  1.0627621353E+07  1.6053808268E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    4  1.2098820506E+05  3.9634678791E-11  1.0627620784E+07  1.6053807812E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    5  1.4360382810E+05  6.6274166321E-11  1.0627620019E+07  1.6053807199E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    6  1.6882341688E+05  1.0768228286E-10  1.0627619012E+07  1.6053806392E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    7  1.9677715084E+05  1.7051797566E-10  1.0627617705E+07  1.6053805345E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    8  2.2758229661E+05  2.6379195707E-10  1.0627616034E+07  1.6053804006E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    9  2.6135690025E+05  3.9952870069E-10  1.0627613924E+07  1.6053802314E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   10  2.9821554691E+05  5.9352203709E-10  1.0627611287E+07  1.6053800201E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   11  3.3826857529E+05  8.6622534962E-10  1.0627608029E+07  1.6053797590E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   12  3.8162311762E+05  1.2437979987E-09  1.0627604039E+07  1.6053794393E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   13  4.2838637099E+05  1.7593516223E-09  1.0627599198E+07  1.6053790513E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   14  4.7865623862E+05  2.4542383482E-09  1.0627593370E+07  1.6053785842E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   15  5.3253904369E+05  3.3798681459E-09  1.0627586405E+07  1.6053780261E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   16  5.9013417748E+05  4.5993609703E-09  1.0627578140E+07  1.6053773637E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   17  6.5153769202E+05  6.1896143332E-09  1.0627568395E+07  1.6053765827E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   18  7.1684658815E+05  8.2437220765E-09  1.0627556972E+07  1.6053756672E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   19  7.8615521160E+05  1.0873497054E-08  1.0627543657E+07  1.6053746001E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
