   i     radius            mass              density           energy            temp              abar              zbar
    1  6.9599699824E+04  1.3179553696E-11  1.8563865372E+07  2.1438570141E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    2  8.1765248479E+04  2.1369033045E-11  1.8563864799E+07  2.1438569806E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    3  9.8708303646E+04  3.7595826284E-11  1.8563863847E+07  2.1438569249E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    4  1.1735911727E+05  6.3187191296E-11  1.8563862594E+07  2.1438568515E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    5  1.3824518483E+05  1.0328293334E-10  1.8563860933E+07  2.1438567543E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    6  1.6141841622E+05  1.6441359959E-10  1.8563858772E+07  2.1438566278E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    7  1.8698700236E+05  2.5557166993E-10  1.8563856000E+07  2.1438564656E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    8  2.1504996425E+05  3.8877338595E-10  1.8563852490E+07  2.1438562602E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    9  2.4570294517E+05  5.7984167713E-10  1.8563848096E+07  2.1438560030E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   10  2.7904071960E+05  8.4933889756E-10  1.8563842653E+07  2.1438556845E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   11  3.1515641163E+05  1.2236483009E-09  1.8563835976E+07  2.1438552937E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   12  3.5413911661E+05  1.7362000143E-09  1.8563827858E+07  2.1438548187E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   13  3.9608064023E+05  2.4290069929E-09  1.8563818068E+07  2.1438542457E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   14  4.4106428138E+05  3.3541572633E-09  1.8563806351E+07  2.1438535600E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   15  4.8917560616E+05  4.5758516350E-09  1.8563792426E+07  2.1438527451E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   16  5.4049632640E+05  6.1724213947E-09  1.8563775985E+07  2.1438517829E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   17  5.9510851053E+05  8.2388299808E-09  1.8563756689E+07  2.1438506536E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   18  6.5309241307E+05  1.0889317413E-08  1.8563734170E+07  2.1438493357E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   19  7.1452604399E+05  1.4260362449E-08  1.8563708029E+07  2.1438478059E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   20  7.7948715062E+05  1.8514109675E-08  1.8563677833E+07  2.1438460387E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   21  8.4805071073E+05  2.3841903762E-08  1.8563643114E+07  2.1438440068E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   22  9.2029155698E+05  3.0468510138E-08  1.8563603368E+07  2.1438416807E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   23  9.9627979779E+05  3.8656118247E-08  1.8563558056E+07  2.1438390289E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   24  1.0760903908E+06  4.8710188108E-08  1.8563506596E+07  2.1438360172E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   25  1.1597942662E+06  6.0983957149E-08  1.8563448367E+07  2.1438326095E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   26  1.2474621974E+06  7.5884659425E-08  1.8563382707E+07  2.1438287668E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   27  1.3391623471E+06  9.3879433792E-08  1.8563308909E+07  2.1438244478E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   28  1.4349621304E+06  1.1550237943E-07  1.8563226225E+07  2.1438196088E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
