   i     radius            mass              density           energy            temp              abar              zbar
    1  6.9599699824E+04  1.1343910309E-10  1.5978293283E+08  5.8428359932E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    2  7.8259843348E+04  1.6127147608E-10  1.5978291947E+08  5.8428357834E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    3  9.1174079606E+04  2.5500855084E-10  1.5978289665E+08  5.8428354250E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    4  1.0502243643E+05  3.8975059676E-10  1.5978286832E+08  5.8428349798E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    5  1.2020187561E+05  5.8435153322E-10  1.5978283266E+08  5.8428344197E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    6  1.3672637177E+05  8.5999761202E-10  1.5978278839E+08  5.8428337241E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    7  1.5464652251E+05  1.2444021736E-09  1.5978273393E+08  5.8428328686E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    8  1.7400721176E+05  1.7727272430E-09  1.5978266757E+08  5.8428318261E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    9  1.9485241779E+05  2.4891865150E-09  1.5978258739E+08  5.8428305663E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   10  2.1722725588E+05  3.4489177121E-09  1.5978249123E+08  5.8428290557E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   11  2.4117577674E+05  4.7199864826E-09  1.5978237674E+08  5.8428272571E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   12  2.6673966614E+05  6.3856084567E-09  1.5978224133E+08  5.8428251297E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   13  2.9395997094E+05  8.5468051532E-09  1.5978208216E+08  5.8428226291E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   14  3.2287746562E+05  1.1325362693E-08  1.5978189613E+08  5.8428197067E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   15  3.5353186675E+05  1.4867031401E-08  1.5978167989E+08  5.8428163095E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   16  3.8596272853E+05  1.9345245932E-08  1.5978142978E+08  5.8428123802E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   17  4.2020814484E+05  2.4964971798E-08  1.5978114187E+08  5.8428078571E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   18  4.5630640676E+05  3.1967365238E-08  1.5978081190E+08  5.8428026731E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   19  4.9429433696E+05  4.0634360929E-08  1.5978043530E+08  5.8427967567E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   20  5.3421230993E+05  5.1295291821E-08  1.5978000714E+08  5.8427900302E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   21  5.7609401467E+05  6.4330233753E-08  1.5977952219E+08  5.8427824115E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   22  6.1997430675E+05  8.0178000652E-08  1.5977897485E+08  5.8427738127E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   23  6.6588877089E+05  9.9343216456E-08  1.5977835915E+08  5.8427641398E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   24  7.1387180428E+05  1.2240318098E-07  1.5977766873E+08  5.8427532930E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   25  7.6395710937E+05  1.5001603710E-07  1.5977689684E+08  5.8427411663E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   26  8.1617923652E+05  1.8293044106E-07  1.5977603631E+08  5.8427276469E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   27  8.7057122021E+05  2.2199373202E-07  1.5977507955E+08  5.8427126157E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   28  9.2716508683E+05  2.6816202274E-07  1.5977401857E+08  5.8426959471E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   29  9.8599441504E+05  3.2251321526E-07  1.5977284488E+08  5.8426775076E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   30  1.0470904330E+06  3.8625544276E-07  1.5977154958E+08  5.8426571574E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   31  1.1104856050E+06  4.6074275092E-07  1.5977012324E+08  5.8426347485E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   32  1.1762095970E+06  5.4748384790E-07  1.5976855604E+08  5.8426101262E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   33  1.2442943916E+06  6.4816232446E-07  1.5976683756E+08  5.8425831271E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   34  1.3147702679E+06  7.6464685807E-07  1.5976495692E+08  5.8425535802E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   35  1.3876671875E+06  8.9900869507E-07  1.5976290273E+08  5.8425213063E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   36  1.4630151161E+06  1.0535392542E-06  1.5976066304E+08  5.8424861176E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   37  1.5408444726E+06  1.2307694850E-06  1.5975822532E+08  5.8424478173E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   38  1.6211837965E+06  1.4334836654E-06  1.5975557655E+08  5.8424062004E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   39  1.7040617133E+06  1.6647432210E-06  1.5975270309E+08  5.8423610530E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   40  1.7895074264E+06  1.9279099152E-06  1.5974959071E+08  5.8423121511E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   41  1.8775499398E+06  2.2266667456E-06  1.5974622458E+08  5.8422592615E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   42  1.9682155551E+06  2.5650319591E-06  1.5974258933E+08  5.8422021426E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   43  2.0615342836E+06  2.9474068650E-06  1.5973866881E+08  5.8421405406E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   44  2.1575320927E+06  3.3785730342E-06  1.5973444641E+08  5.8420741940E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   45  2.2562370688E+06  3.8637436092E-06  1.5972990473E+08  5.8420028294E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   46  2.3576758525E+06  4.4085770576E-06  1.5972502580E+08  5.8419261640E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   47  2.4618756880E+06  5.0192169533E-06  1.5971979090E+08  5.8418439036E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   48  2.5688635959E+06  5.7023200579E-06  1.5971418065E+08  5.8417557429E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
