   i     radius            mass              density           energy            temp              abar              zbar
    1  6.9599699824E+04  4.8167436760E-11  6.7845523583E+07  3.9986361595E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    2  7.9540954834E+04  7.1895847299E-11  6.7845519802E+07  3.9986360577E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    3  9.3958679390E+04  1.1850647528E-10  6.7845513423E+07  3.9986358860E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    4  1.0957171460E+05  1.8794323747E-10  6.7845505319E+07  3.9986356678E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    5  1.2682803086E+05  2.9145870795E-10  6.7845494916E+07  3.9986353878E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    6  1.4575316805E+05  4.4236956822E-10  6.7845481761E+07  3.9986350336E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    7  1.6641574547E+05  6.5843728088E-10  6.7845465312E+07  3.9986345908E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    8  1.8887809497E+05  9.6266652562E-10  6.7845444960E+07  3.9986340429E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    9  2.1320178167E+05  1.3845335423E-09  6.7845420019E+07  3.9986333715E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   10  2.3944715069E+05  1.9613716620E-09  6.7845389723E+07  3.9986325560E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   11  2.6767294314E+05  2.7399595900E-09  6.7845353221E+07  3.9986315733E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   12  2.9793572193E+05  3.7783161938E-09  6.7845309570E+07  3.9986303982E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   13  3.3029233933E+05  5.1478498484E-09  6.7845257733E+07  3.9986290028E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   14  3.6479866553E+05  6.9356929145E-09  6.7845196567E+07  3.9986273562E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   15  4.0150829260E+05  9.2472673940E-09  6.7845124830E+07  3.9986254250E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   16  4.4047504239E+05  1.2209375598E-08  6.7845041161E+07  3.9986231726E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   17  4.8175069029E+05  1.5973357072E-08  6.7844944089E+07  3.9986205595E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   18  5.2538654416E+05  2.0718846362E-08  6.7844832018E+07  3.9986175425E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   19  5.7143320593E+05  2.6657821697E-08  6.7844703225E+07  3.9986140753E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   20  6.1993973192E+05  3.4038944558E-08  6.7844555855E+07  3.9986101081E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   21  6.7095735754E+05  4.3153078746E-08  6.7844387909E+07  3.9986055869E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   22  7.2453214686E+05  5.4337452455E-08  6.7844197255E+07  3.9986004545E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   23  7.8071264964E+05  6.7982810490E-08  6.7843981606E+07  3.9985946491E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   24  8.3954467923E+05  8.4538779471E-08  6.7843738524E+07  3.9985881053E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   25  9.0107381240E+05  1.0452124837E-07  6.7843465415E+07  3.9985807530E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   26  9.6534638834E+05  1.2852033152E-07  6.7843159512E+07  3.9985725179E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   27  1.0324065512E+06  1.5720749657E-07  6.7842817884E+07  3.9985633211E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   28  1.1022990107E+06  1.9134529523E-07  6.7842437421E+07  3.9985530787E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   29  1.1750667012E+06  2.3179575103E-07  6.7842014838E+07  3.9985417024E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   30  1.2507525009E+06  2.7953117743E-07  6.7841546661E+07  3.9985290987E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   31  1.3293994845E+06  3.3564535753E-07  6.7841029220E+07  3.9985151686E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   32  1.4110492445E+06  4.0136402817E-07  6.7840458654E+07  3.9984998083E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   33  1.4957437656E+06  4.7805859169E-07  6.7839830893E+07  3.9984829081E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   34  1.5835238796E+06  5.6725812776E-07  6.7839141666E+07  3.9984643531E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   35  1.6744302532E+06  6.7066425829E-07  6.7838386482E+07  3.9984440222E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   36  1.7685020350E+06  7.9016446556E-07  6.7837560643E+07  3.9984217891E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   37  1.8657797654E+06  9.2785150670E-07  6.7836659212E+07  3.9983975207E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   38  1.9663023028E+06  1.0860365254E-06  6.7835677032E+07  3.9983710781E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   39  2.0701079943E+06  1.2672680098E-06  6.7834608712E+07  3.9983423162E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   40  2.1772358967E+06  1.4743529604E-06  6.7833448611E+07  3.9983110830E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   41  2.2877237910E+06  1.7103734340E-06  6.7832190848E+07  3.9982772200E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   42  2.4016095398E+06  1.9787099887E-06  6.7830829289E+07  3.9982405621E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   43  2.5189308390E+06  2.2830636664E-06  6.7829357537E+07  3.9982009369E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   44  2.6397234838E+06  2.6274744261E-06  6.7827768955E+07  3.9981581656E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   45  2.7640250320E+06  3.0163555105E-06  6.7826056610E+07  3.9981120614E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   46  2.8918709539E+06  3.4545084317E-06  6.7824213319E+07  3.9980624308E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   47  3.0232976707E+06  3.9471592101E-06  6.7822231604E+07  3.9980090721E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   48  3.1583402746E+06  4.4999790879E-06  6.7820103717E+07  3.9979517765E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   49  3.2970343373E+06  5.1191208538E-06  6.7817821610E+07  3.9978903273E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   50  3.4394155631E+06  5.8112496787E-06  6.7815376931E+07  3.9978244991E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   51  3.5855183391E+06  6.5835687033E-06  6.7812761045E+07  3.9977540591E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   52  3.7353770697E+06  7.4438588412E-06  6.7809965009E+07  3.9976787663E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   53  3.8890258842E+06  8.4005130803E-06  6.7806979567E+07  3.9975983709E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   54  4.0464979935E+06  9.4625690595E-06  6.7803795160E+07  3.9975126152E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   55  4.2078284225E+06  1.0639766613E-05  6.7800401869E+07  3.9974212315E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
