   i     radius            mass              density           energy            temp              abar              zbar
    1  6.9599699824E+04  3.3754892060E-12  4.7544955922E+06  1.0331809731E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    2  8.4410529602E+04  6.0214972233E-12  4.7544955095E+06  1.0331809629E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    3  1.0422613281E+05  1.1335599082E-11  4.7544953739E+06  1.0331809463E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    4  1.2647086628E+05  2.0252846620E-11  4.7544951877E+06  1.0331809234E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    5  1.5171868047E+05  3.4964856466E-11  4.7544949329E+06  1.0331808921E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    6  1.8008256967E+05  5.8469529278E-11  4.7544945916E+06  1.0331808502E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    7  2.1172310337E+05  9.5020932578E-11  4.7544941419E+06  1.0331807950E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    8  2.4679304296E+05  1.5049194031E-10  4.7544935586E+06  1.0331807233E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    9  2.8544488300E+05  2.3285268402E-10  4.7544928124E+06  1.0331806317E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   10  3.2782249156E+05  3.5272045868E-10  4.7544918696E+06  1.0331805159E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   11  3.7407003882E+05  5.2405047620E-10  4.7544906921E+06  1.0331803713E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   12  4.2432577101E+05  7.6491379441E-10  4.7544892367E+06  1.0331801925E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   13  4.7872641286E+05  1.0984399937E-09  4.7544874546E+06  1.0331799737E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   14  5.3740578900E+05  1.5538928593E-09  4.7544852918E+06  1.0331797080E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   15  6.0049040606E+05  2.1678644643E-09  4.7544826879E+06  1.0331793882E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   16  6.6810918158E+05  2.9857679846E-09  4.7544795762E+06  1.0331790061E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   17  7.4038880779E+05  4.0634326817E-09  4.7544758833E+06  1.0331785525E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   18  8.1745169096E+05  5.4688949978E-09  4.7544715286E+06  1.0331780177E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   19  8.9941628735E+05  7.2844247157E-09  4.7544664240E+06  1.0331773908E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   20  9.8640085547E+05  9.6088853213E-09  4.7544604737E+06  1.0331766600E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   21  1.0785219142E+06  1.2560277453E-08  4.7544535736E+06  1.0331758126E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   22  1.1758926441E+06  1.6278519189E-08  4.7544456110E+06  1.0331748346E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   23  1.2786248507E+06  2.0928629822E-08  4.7544364643E+06  1.0331737113E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   24  1.3868290540E+06  2.6704201409E-08  4.7544260025E+06  1.0331724264E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   25  1.5006169266E+06  3.3831376610E-08  4.7544140845E+06  1.0331709627E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   26  1.6200932571E+06  4.2572528928E-08  4.7544005600E+06  1.0331693017E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   27  1.7453622749E+06  5.3231085411E-08  4.7543852676E+06  1.0331674235E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   28  1.8765259412E+06  6.6156320241E-08  4.7543680356E+06  1.0331653072E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   29  2.0136874947E+06  8.1749062634E-08  4.7543486808E+06  1.0331629301E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   30  2.1569462392E+06  1.0046697743E-07  4.7543270085E+06  1.0331602683E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   31  2.3064032225E+06  1.2283150045E-07  4.7543028118E+06  1.0331572966E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   32  2.4621563157E+06  1.4943400524E-07  4.7542758716E+06  1.0331539878E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   33  2.6243007324E+06  1.8094297945E-07  4.7542459564E+06  1.0331503137E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   34  2.7929321107E+06  2.1811234840E-07  4.7542128215E+06  1.0331462442E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   35  2.9681443540E+06  2.6178946516E-07  4.7541762085E+06  1.0331417474E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   36  3.1500318137E+06  3.1292460812E-07  4.7541358452E+06  1.0331367900E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   37  3.3386841143E+06  3.7257907125E-07  4.7540914456E+06  1.0331313369E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   38  3.5341933424E+06  4.4193734834E-07  4.7540427085E+06  1.0331253510E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   39  3.7366510218E+06  5.2231738883E-07  4.7539893176E+06  1.0331187934E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   40  3.9461425091E+06  6.1517965115E-07  4.7539309425E+06  1.0331116237E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   41  4.1627590478E+06  7.2214431137E-07  4.7538672352E+06  1.0331037990E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   42  4.3865843798E+06  8.4499829660E-07  4.7537978334E+06  1.0330952749E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   43  4.6177074695E+06  9.8571526883E-07  4.7537223565E+06  1.0330860045E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   44  4.8562127154E+06  1.1464651195E-06  4.7536404080E+06  1.0330759391E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   45  5.1021840600E+06  1.3296313188E-06  4.7535515743E+06  1.0330650280E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   46  5.3557047277E+06  1.5378269823E-06  4.7534554237E+06  1.0330532180E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
