   i     radius            mass              density           energy            temp              abar              zbar
    1  6.9599699824E+04  1.4712304745E-12  2.0722800372E+06  6.3705912951E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    2  8.6111431733E+04  2.7863844418E-12  2.0722800109E+06  6.3705912467E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    3  1.0771741993E+05  5.4540162417E-12  2.0722799680E+06  6.3705911678E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    4  1.3226853703E+05  1.0097834323E-11  2.0722799077E+06  6.3705910568E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    5  1.6035229400E+05  1.7992193448E-11  2.0722798236E+06  6.3705909019E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    6  1.9212709606E+05  3.0947418011E-11  2.0722797090E+06  6.3705906909E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    7  2.2780343980E+05  5.1586893811E-11  2.0722795556E+06  6.3705904087E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    8  2.6757332239E+05  8.3596280404E-11  2.0722793540E+06  6.3705900375E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    9  3.1162758916E+05  1.3205844745E-10  2.0722790928E+06  6.3705895568E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   10  3.6015079519E+05  2.0385040547E-10  2.0722787592E+06  6.3705889427E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   11  4.1332500227E+05  3.0812960205E-10  2.0722783382E+06  6.3705881678E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   12  4.7132849448E+05  4.5690868676E-10  2.0722778131E+06  6.3705872011E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   13  5.3433237485E+05  6.6572169586E-10  2.0722771646E+06  6.3705860074E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   14  6.0250610023E+05  9.5442650288E-10  2.0722763713E+06  6.3705845473E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   15  6.7601592680E+05  1.3481207962E-09  2.0722754094E+06  6.3705827767E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   16  7.5501277945E+05  1.8781089690E-09  2.0722742523E+06  6.3705806469E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   17  8.3966173063E+05  2.5832758525E-09  2.0722728707E+06  6.3705781038E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   18  9.3011993671E+05  3.5113519286E-09  2.0722712322E+06  6.3705750878E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   19  1.0265367237E+06  4.7204209385E-09  2.0722693013E+06  6.3705715336E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   20  1.1290617208E+06  6.2807285299E-09  2.0722670394E+06  6.3705673700E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   21  1.2378406488E+06  8.2765789279E-09  2.0722644042E+06  6.3705625194E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   22  1.3530179601E+06  1.0808537681E-08  2.0722613500E+06  6.3705568975E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   23  1.4747349120E+06  1.3995799050E-08  2.0722578273E+06  6.3705504132E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   24  1.6031303379E+06  1.7978845627E-08  2.0722537826E+06  6.3705429681E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   25  1.7383375081E+06  2.2922238480E-08  2.0722491586E+06  6.3705344566E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   26  1.8805091350E+06  2.9018863765E-08  2.0722438927E+06  6.3705247638E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   27  2.0297618311E+06  3.6491234403E-08  2.0722379195E+06  6.3705137687E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   28  2.1862252719E+06  4.5597096828E-08  2.0722311681E+06  6.3705013414E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   29  2.3500310364E+06  5.6633356101E-08  2.0722235630E+06  6.3704873425E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   30  2.5213017103E+06  6.9939880566E-08  2.0722150240E+06  6.3704716245E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   31  2.7001698436E+06  8.5905798101E-08  2.0722054653E+06  6.3704540295E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   32  2.8867502393E+06  1.0497249484E-07  2.0721947966E+06  6.3704343914E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   33  3.0811702608E+06  1.2764196653E-07  2.0721829216E+06  6.3704125326E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   34  3.2835437353E+06  1.5448031715E-07  2.0721697391E+06  6.3703882670E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   35  3.4939941507E+06  1.8612701897E-07  2.0721551414E+06  6.3703613963E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   36  3.7126339581E+06  2.2329925346E-07  2.0721390156E+06  6.3703317127E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   37  3.9395841701E+06  2.6680243517E-07  2.0721212420E+06  6.3702989959E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   38  4.1749527759E+06  3.1753447379E-07  2.0721016958E+06  6.3702630157E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   39  4.4188582732E+06  3.7649889001E-07  2.0720802445E+06  6.3702235286E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   40  4.6714094576E+06  4.4480978752E-07  2.0720567499E+06  6.3701802801E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   41  4.9327157431E+06  5.2370360748E-07  2.0720310670E+06  6.3701330032E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   42  5.2028871627E+06  6.1454967829E-07  2.0720030437E+06  6.3700814178E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   43  5.4820315083E+06  7.1886032907E-07  2.0719725210E+06  6.3700252310E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   44  5.7702577966E+06  8.3830375379E-07  2.0719393323E+06  6.3699641362E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   45  6.0676665741E+06  9.7471209168E-07  2.0719033046E+06  6.3698978146E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   46  6.3743670688E+06  1.1301016936E-06  2.0718642561E+06  6.3698259316E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   47  6.6904621767E+06  1.3066803623E-06  2.0718219979E+06  6.3697481394E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   48  7.0160527699E+06  1.5068631138E-06  2.0717763334E+06  6.3696640758E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   49  7.3512416102E+06  1.7332896918E-06  2.0717270577E+06  6.3695733632E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   50  7.6961304588E+06  1.9888390929E-06  2.0716739574E+06  6.3694756090E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   51  8.0508150815E+06  2.2766420438E-06  2.0716168118E+06  6.3693704062E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   52  8.4153993228E+06  2.6001096181E-06  2.0715553901E+06  6.3692573297E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   53  8.7899789391E+06  2.9629388013E-06  2.0714894539E+06  6.3691359404E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   54  9.1746502337E+06  3.3691382669E-06  2.0714187558E+06  6.3690057823E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   55  9.5695086729E+06  3.8230473871E-06  2.0713430393E+06  6.3688663830E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   56  9.9746514820E+06  4.3293606046E-06  2.0712620384E+06  6.3687172520E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   57  1.0390176105E+07  4.8931486145E-06  2.0711754772E+06  6.3685578810E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
