   i     radius            mass              density           energy            temp              abar              zbar
    1  6.9599699824E+04  3.3602500494E-11  4.7330301918E+07  3.3844273531E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    2  8.0125159887E+04  5.1269159608E-11  4.7330299687E+07  3.3844272782E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    3  9.5213531228E+04  8.6029115463E-11  4.7330295941E+07  3.3844271524E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    4  1.1162713406E+05  1.3863048181E-10  4.7330291135E+07  3.3844269910E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    5  1.2983324076E+05  2.1812581341E-10  4.7330284911E+07  3.3844267820E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    6  1.4986376020E+05  3.3545880900E-10  4.7330276979E+07  3.3844265156E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    7  1.7179750482E+05  5.0535879061E-10  4.7330266991E+07  3.3844261802E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    8  1.9570436328E+05  7.4705181473E-10  4.7330254552E+07  3.3844257624E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    9  2.2165484146E+05  1.0853774140E-09  4.7330239219E+07  3.3844252475E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   10  2.4971739831E+05  1.5520132190E-09  4.7330220492E+07  3.3844246185E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   11  2.7995910151E+05  2.1869188062E-09  4.7330197814E+07  3.3844238569E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   12  3.1244349445E+05  3.0399272841E-09  4.7330170570E+07  3.3844229419E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   13  3.4723645414E+05  4.1727704586E-09  4.7330138075E+07  3.3844218506E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   14  3.8440013483E+05  5.6610753956E-09  4.7330099581E+07  3.3844205578E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   15  4.2399547134E+05  7.5968184782E-09  4.7330054265E+07  3.3844190359E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   16  4.6608439031E+05  1.0091168963E-08  4.7330001228E+07  3.3844172547E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   17  5.1072459305E+05  1.3277239114E-08  4.7329939495E+07  3.3844151815E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   18  5.5797453250E+05  1.7313712470E-08  4.7329868006E+07  3.3844127806E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   19  6.0789202010E+05  2.2388548766E-08  4.7329785615E+07  3.3844100135E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   20  6.6053238780E+05  2.8722910658E-08  4.7329691087E+07  3.3844068388E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   21  7.1595187194E+05  3.6576065635E-08  4.7329583090E+07  3.3844032118E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   22  7.7420483246E+05  4.6250076775E-08  4.7329460197E+07  3.3843990845E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   23  8.3534539497E+05  5.8095474877E-08  4.7329320879E+07  3.3843944056E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   24  8.9942575580E+05  7.2516886674E-08  4.7329163502E+07  3.3843891202E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   25  9.6649772166E+05  8.9979737004E-08  4.7328986325E+07  3.3843831697E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   26  1.0366130638E+06  1.1101742606E-07  4.7328787493E+07  3.3843764920E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   27  1.1098219900E+06  1.3623850624E-07  4.7328565035E+07  3.3843690208E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   28  1.1861745142E+06  1.6633525021E-07  4.7328316859E+07  3.3843606858E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   29  1.2657199379E+06  2.0209234972E-07  4.7328040752E+07  3.3843514127E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   30  1.3485071287E+06  2.4439654533E-07  4.7327734369E+07  3.3843411228E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   31  1.4345831976E+06  2.9424607288E-07  4.7327395241E+07  3.3843297331E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   32  1.5239962586E+06  3.5276305591E-07  4.7327020756E+07  3.3843171559E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   33  1.6167928488E+06  4.2120378085E-07  4.7326608168E+07  3.3843032988E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   34  1.7130195459E+06  5.0097214603E-07  4.7326154586E+07  3.3842880649E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   35  1.8127214519E+06  5.9363173193E-07  4.7325656976E+07  3.3842713521E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   36  1.9159444306E+06  7.0092187065E-07  4.7325112148E+07  3.3842530534E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   37  2.0227330487E+06  8.2477087746E-07  4.7324516762E+07  3.3842330565E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   38  2.1331318980E+06  9.6731330389E-07  4.7323867318E+07  3.3842112437E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   39  2.2471848233E+06  1.1309060212E-06  4.7323160154E+07  3.3841874922E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   40  2.3649340955E+06  1.3181445309E-06  4.7322391450E+07  3.3841616734E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   41  2.4864235512E+06  1.5318866900E-06  4.7321557207E+07  3.3841336531E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   42  2.6116949960E+06  1.7752670966E-06  4.7320653259E+07  3.3841032912E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   43  2.7407911395E+06  2.0517232143E-06  4.7319675259E+07  3.3840704416E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   44  2.8737533444E+06  2.3650133592E-06  4.7318618680E+07  3.3840349522E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   45  3.0106220654E+06  2.7192402070E-06  4.7317478821E+07  3.3839966650E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   46  3.1514397834E+06  3.1188833281E-06  4.7316250770E+07  3.3839554149E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   47  3.2962455992E+06  3.5688106113E-06  4.7314929448E+07  3.3839110310E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   48  3.4450802689E+06  4.0743189947E-06  4.7313509565E+07  3.3838633356E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   49  3.5979838921E+06  4.6411568313E-06  4.7311985631E+07  3.3838121440E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   50  3.7549962029E+06  5.2755544377E-06  4.7310351956E+07  3.3837572649E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   51  3.9161552245E+06  5.9842490599E-06  4.7308602654E+07  3.3836985004E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   52  4.0815011831E+06  6.7745342363E-06  4.7306731603E+07  3.3836356445E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   53  4.2510704962E+06  7.6542663630E-06  4.7304732508E+07  3.3835684854E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   54  4.4249028050E+06  8.6319338582E-06  4.7302598811E+07  3.3834968024E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   55  4.6030359334E+06  9.7166701479E-06  4.7300323755E+07  3.3834203683E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   56  4.7855079039E+06  1.0918302624E-05  4.7297900345E+07  3.3833389475E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   57  4.9723543849E+06  1.2247375319E-05  4.7295321391E+07  3.3832522980E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   58  5.1636140610E+06  1.3715227733E-05  4.7292579421E+07  3.3831601682E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   59  5.3593230993E+06  1.5334000444E-05  4.7289666761E+07  3.3830622997E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   60  5.5595185006E+06  1.7116704633E-05  4.7286575479E+07  3.3829584252E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   61  5.7642358812E+06  1.9077250694E-05  4.7283297417E+07  3.3828482700E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   62  5.9735126355E+06  2.1230526891E-05  4.7279824139E+07  3.3827315498E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   63  6.1873829074E+06  2.3592400192E-05  4.7276147006E+07  3.3826079732E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   64  6.4058834863E+06  2.6179829400E-05  4.7272257079E+07  3.3824772390E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   65  6.6290485159E+06  2.9010862033E-05  4.7268145202E+07  3.3823390383E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   66  6.8569140987E+06  3.2104744994E-05  4.7263801919E+07  3.3821930520E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   67  7.0895146436E+06  3.5481938252E-05  4.7259217540E+07  3.3820389531E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   68  7.3268850457E+06  3.9164203313E-05  4.7254382090E+07  3.3818764049E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   69  7.5690607335E+06  4.3174670166E-05  4.7249285310E+07  3.3817050609E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   70  7.8160762843E+06  4.7537881080E-05  4.7243916678E+07  3.3815245656E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   71  8.0679637811E+06  5.2279822281E-05  4.7238265445E+07  3.3813345556E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   72  8.3247583289E+06  5.7428092903E-05  4.7232320514E+07  3.3811346557E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   73  8.5864950344E+06  6.3011929755E-05  4.7226070495E+07  3.3809244807E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   74  8.8532057141E+06  6.9062205992E-05  4.7219503787E+07  3.3807036378E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   75  9.1249250602E+06  7.5611638455E-05  4.7212608425E+07  3.3804717219E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   76  9.4016846216E+06  8.2694729256E-05  4.7205372226E+07  3.3802283202E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   77  9.6835185581E+06  9.0347984391E-05  4.7197782642E+07  3.3799730075E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   78  9.9704607196E+06  9.8609932116E-05  4.7189826827E+07  3.3797053479E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   79  1.0262542934E+07  1.0752115410E-04  4.7181491686E+07  3.3794248971E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   80  1.0559797474E+07  1.1712443891E-04  4.7172763807E+07  3.3791311995E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   81  1.0862258313E+07  1.2746492124E-04  4.7163629413E+07  3.3788237871E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   82  1.1169957082E+07  1.3859004295E-04  4.7154074487E+07  3.3785021831E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   83  1.1482925851E+07  1.5054973565E-04  4.7144084682E+07  3.3781658994E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   84  1.1801196775E+07  1.6339650987E-04  4.7133645332E+07  3.3778144363E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   85  1.2124804204E+07  1.7718564987E-04  4.7122741375E+07  3.3774472807E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   86  1.2453778706E+07  1.9197506925E-04  4.7111357554E+07  3.3770639120E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   87  1.2788151061E+07  2.0782556724E-04  4.7099478283E+07  3.3766637980E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   88  1.3127954259E+07  2.2480104309E-04  4.7087087570E+07  3.3762463923E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   89  1.3473218069E+07  2.4296834408E-04  4.7074169218E+07  3.3758111408E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   90  1.3823977147E+07  2.6239779747E-04  4.7060706512E+07  3.3753574713E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   91  1.4180261905E+07  2.8316285314E-04  4.7046682567E+07  3.3748848049E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   92  1.4542103616E+07  3.0534046350E-04  4.7032080133E+07  3.3743925498E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   93  1.4909533908E+07  3.2901118622E-04  4.7016881610E+07  3.3738801015E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   94  1.5282583507E+07  3.5425922928E-04  4.7001069104E+07  3.3733468444E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   95  1.5661283897E+07  3.8117268578E-04  4.6984624352E+07  3.3727921496E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   96  1.6045666934E+07  4.0984364917E-04  4.6967528735E+07  3.3722153754E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   97  1.6435763245E+07  4.4036822678E-04  4.6949763353E+07  3.3716158691E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   98  1.6831604997E+07  4.7284688722E-04  4.6931308894E+07  3.3709929630E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   99  1.7233222517E+07  5.0738433311E-04  4.6912145795E+07  3.3703459799E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  100  1.7640646366E+07  5.4408979859E-04  4.6892254144E+07  3.3696742292E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  101  1.8053911403E+07  5.8307759080E-04  4.6871613474E+07  3.3689770004E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  102  1.8473045280E+07  6.2446617215E-04  4.6850203336E+07  3.3682535819E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  103  1.8898080031E+07  6.6837937442E-04  4.6828002726E+07  3.3675032419E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  104  1.9329046417E+07  7.1494602740E-04  4.6804990366E+07  3.3667252375E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  105  1.9765976271E+07  7.6430035668E-04  4.6781144582E+07  3.3659188110E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  106  2.0208900277E+07  8.1658190147E-04  4.6756443425E+07  3.3650831932E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  107  2.0657849534E+07  8.7193584392E-04  4.6730864589E+07  3.3642176010E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  108  2.1112858294E+07  9.3051354469E-04  4.6704385248E+07  3.3633212317E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  109  2.1573954333E+07  9.9247147783E-04  4.6676982617E+07  3.3623932818E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  110  2.2041170009E+07  1.0579727977E-03  4.6648633318E+07  3.3614329252E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  111  2.2514536430E+07  1.1271867736E-03  4.6619313714E+07  3.3604393250E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  112  2.2994084624E+07  1.2002891084E-03  4.6588999850E+07  3.3594116307E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  113  2.3479847268E+07  1.2774623924E-03  4.6557667340E+07  3.3583489747E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  114  2.3971855827E+07  1.3588958533E-03  4.6525291552E+07  3.3572504782E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  115  2.4470140747E+07  1.4447855316E-03  4.6491847605E+07  3.3561152508E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  116  2.4974735353E+07  1.5353351403E-03  4.6457310112E+07  3.3549423822E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  117  2.5485670533E+07  1.6307553410E-03  4.6421653535E+07  3.3537309534E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  118  2.6002979468E+07  1.7312647788E-03  4.6384851874E+07  3.3524800266E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  119  2.6526693165E+07  1.8370894389E-03  4.6346878973E+07  3.3511886549E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
