   i     radius            mass              density           energy            temp              abar              zbar
    1  6.9599699824E+04  7.1841885996E-11  1.0119181005E+08  4.7867996484E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    2  7.8923962841E+04  1.0475680366E-10  1.0119180325E+08  4.7867995056E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    3  9.2621820038E+04  1.6931501557E-10  1.0119179170E+08  4.7867992633E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    4  1.0738711142E+05  2.6388334325E-10  1.0119177718E+08  4.7867989589E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    5  1.2364244797E+05  4.0277103190E-10  1.0119175873E+08  4.7867985717E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    6  1.4140771928E+05  6.0252453016E-10  1.0119173559E+08  4.7867980862E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    7  1.6074255611E+05  8.8500946148E-10  1.0119170687E+08  4.7867974839E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    8  1.8170144074E+05  1.2782927437E-09  1.0119167160E+08  4.7867967440E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    9  2.0433683797E+05  1.8180051326E-09  1.0119162865E+08  4.7867958431E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   10  2.2869728830E+05  2.5488132169E-09  1.0119157681E+08  4.7867947555E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   11  2.5483795502E+05  3.5265263947E-09  1.0119151469E+08  4.7867934524E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   12  2.8280675772E+05  4.8197439002E-09  1.0119144078E+08  4.7867919021E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   13  3.1265314017E+05  6.5124255816E-09  1.0119135344E+08  4.7867900698E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   14  3.4442482803E+05  8.7063771260E-09  1.0119125084E+08  4.7867879175E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   15  3.7816916394E+05  1.1524236332E-08  1.0119113100E+08  4.7867854037E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   16  4.1393265219E+05  1.5112715807E-08  1.0119099178E+08  4.7867824831E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   17  4.5176008491E+05  1.9646111824E-08  1.0119083084E+08  4.7867791070E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   18  4.9169620358E+05  2.5330463171E-08  1.0119064566E+08  4.7867752225E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   19  5.3378500071E+05  3.2407916967E-08  1.0119043354E+08  4.7867707728E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   20  5.7807241913E+05  4.1162158720E-08  1.0119019154E+08  4.7867656962E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   21  6.2460020220E+05  5.1922673894E-08  1.0118991653E+08  4.7867599271E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   22  6.7340834246E+05  6.5070682688E-08  1.0118960517E+08  4.7867533956E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   23  7.2453845935E+05  8.1046322140E-08  1.0118925389E+08  4.7867460266E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   24  7.7803081407E+05  1.0035484797E-07  1.0118885888E+08  4.7867377402E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
