   i     radius            mass              density           energy            temp              abar              zbar
    1  6.9599699824E+04  3.9048861046E-10  5.5001660903E+08  9.7424105983E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    2  7.6673045197E+04  5.2205267122E-10  5.5001652557E+08  9.7424100081E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    3  8.7655550151E+04  7.8005339269E-10  5.5001637999E+08  9.7424089786E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    4  9.9290551285E+04  1.1337302238E-09  5.5001620453E+08  9.7424077378E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    5  1.1190007889E+05  1.6228449024E-09  5.5001598972E+08  9.7424062187E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    6  1.2548926356E+05  2.2887871849E-09  5.5001572950E+08  9.7424043784E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    7  1.4009218604E+05  3.1843975474E-09  5.5001541666E+08  9.7424021661E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    8  1.5573574515E+05  4.3747201514E-09  5.5001504336E+08  9.7423995261E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    9  1.7244838284E+05  5.9396728517E-09  5.5001460093E+08  9.7423963973E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   10  1.9025797842E+05  7.9765213283E-09  5.5001407986E+08  9.7423927124E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   11  2.0919143262E+05  1.0602695483E-08  5.5001346979E+08  9.7423883981E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   12  2.2927590897E+05  1.3959168173E-08  5.5001275943E+08  9.7423833746E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   13  2.5053784704E+05  1.8213939928E-08  5.5001193651E+08  9.7423775550E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   14  2.7300305501E+05  2.3566004011E-08  5.5001098778E+08  9.7423708457E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   15  2.9669696099E+05  3.0249778824E-08  5.5000989894E+08  9.7423631456E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   16  3.2164453273E+05  3.8539922846E-08  5.5000865461E+08  9.7423543458E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   17  3.4786726766E+05  4.8755357633E-08  5.5000723844E+08  9.7423443308E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   18  3.7539234048E+05  6.1268480315E-08  5.5000563261E+08  9.7423329745E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   19  4.0424336710E+05  7.6508332294E-08  5.5000381824E+08  9.7423201434E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   20  4.3444418658E+05  9.4968817373E-08  5.5000177513E+08  9.7423056947E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   21  4.6601776677E+05  1.1721559480E-07  5.4999948183E+08  9.7422894766E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   22  4.9898698234E+05  1.4389456948E-07  5.4999691554E+08  9.7422713278E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   23  5.3337453575E+05  1.7574065208E-07  5.4999405203E+08  9.7422510771E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   24  5.6920230132E+05  2.1358651625E-07  5.4999086569E+08  9.7422285432E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   25  6.0649263073E+05  2.5837399453E-07  5.4998732938E+08  9.7422035343E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   26  6.4526710836E+05  3.1116371226E-07  5.4998341447E+08  9.7421758476E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   27  6.8554701253E+05  3.7314707283E-07  5.4997909075E+08  9.7421452698E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   28  7.2735362675E+05  4.4565920367E-07  5.4997432640E+08  9.7421115756E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   29  7.7070770697E+05  5.3019139835E-07  5.4996908796E+08  9.7420745283E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   30  8.1563013650E+05  6.2840645970E-07  5.4996334024E+08  9.7420338790E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   31  8.6214118443E+05  7.4215230723E-07  5.4995704635E+08  9.7419893668E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   32  9.1026172438E+05  8.7348097773E-07  5.4995016748E+08  9.7419407170E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   33  9.6001049910E+05  1.0246581522E-06  5.4994266328E+08  9.7418876442E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   34  1.0114082440E+06  1.1981926387E-06  5.4993449121E+08  9.7418298475E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   35  1.0644744510E+06  1.3968465397E-06  5.4992560695E+08  9.7417670131E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   36  1.1192283295E+06  1.6236577266E-06  5.4991596422E+08  9.7416988137E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   37  1.1756890346E+06  1.8819620086E-06  5.4990551474E+08  9.7416249075E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   38  1.2338754771E+06  2.1754148558E-06  5.4989420816E+08  9.7415449383E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   39  1.2938067996E+06  2.5080176605E-06  5.4988199198E+08  9.7414585345E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   40  1.3555014455E+06  2.8841378353E-06  5.4986881165E+08  9.7413653100E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
