   i     radius            mass              density           energy            temp              abar              zbar
    1  6.9599699824E+04  4.4102221607E-12  6.2119534150E+06  1.1998984827E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    2  8.3872952201E+04  7.7179888548E-12  6.2119532946E+06  1.1998984698E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    3  1.0310756946E+05  1.4338707142E-11  6.2119530970E+06  1.1998984487E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    4  1.2461589132E+05  2.5313874232E-11  6.2119528279E+06  1.1998984199E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    5  1.4897065450E+05  4.3245457414E-11  6.2119524618E+06  1.1998983807E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    6  1.7626545421E+05  7.1637415615E-11  6.2119519740E+06  1.1998983286E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    7  2.0664923724E+05  1.1543558000E-10  6.2119513347E+06  1.1998982602E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    8  2.4026548314E+05  1.8143137277E-10  6.2119505092E+06  1.1998981719E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    9  2.7725077567E+05  2.7877671749E-10  6.2119494575E+06  1.1998980594E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   10  3.1773863121E+05  4.1961228626E-10  6.2119481338E+06  1.1998979178E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   11  3.6186383922E+05  6.1983147438E-10  6.2119464860E+06  1.1998977416E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   12  4.0975372518E+05  8.9992581954E-10  6.2119444556E+06  1.1998975244E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   13  4.6153187391E+05  1.2860059394E-09  6.2119419767E+06  1.1998972592E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   14  5.1732341245E+05  1.8110237749E-09  6.2119389759E+06  1.1998969383E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
