   i     radius            mass              density           energy            temp              abar              zbar
    1  6.9599699824E+04  1.0616217151E-09  1.4953296240E+09  1.4387831670E+18  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    2  7.5595330757E+04  1.3602930061E-09  1.4953292542E+09  1.4387830314E+18  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    3  8.5220349042E+04  1.9488449015E-09  1.4953285966E+09  1.4387827901E+18  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    4  9.5330666538E+04  2.7280042908E-09  1.4953278211E+09  1.4387825056E+18  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    5  1.0619538115E+05  3.7710634847E-09  1.4953268910E+09  1.4387821643E+18  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    6  1.1781679822E+05  5.1495394388E-09  1.4953257850E+09  1.4387817586E+18  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    7  1.3021646788E+05  6.9525516831E-09  1.4953244785E+09  1.4387812792E+18  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    8  1.4341372100E+05  9.2879169706E-09  1.4953229444E+09  1.4387807164E+18  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    9  1.5742832611E+05  1.2285547719E-08  1.4953211532E+09  1.4387800593E+18  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   10  1.7227910764E+05  1.6100648200E-08  1.4953190732E+09  1.4387792961E+18  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   11  1.8798496759E+05  2.0917725586E-08  1.4953166694E+09  1.4387784142E+18  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   12  2.0456439200E+05  2.6954713999E-08  1.4953139046E+09  1.4387773998E+18  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   13  2.2203527080E+05  3.4467514009E-08  1.4953107384E+09  1.4387762382E+18  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   14  2.4041556099E+05  4.3755348354E-08  1.4953071275E+09  1.4387749134E+18  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   15  2.5972273015E+05  5.5166138457E-08  1.4953030254E+09  1.4387734084E+18  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   16  2.7997425534E+05  6.9102886855E-08  1.4952983823E+09  1.4387717049E+18  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   17  3.0118729534E+05  8.6030199135E-08  1.4952931452E+09  1.4387697835E+18  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   18  3.2337789052E+05  1.0648070718E-07  1.4952872576E+09  1.4387676234E+18  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   19  3.4656304095E+05  1.3106464102E-07  1.4952806592E+09  1.4387652025E+18  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
