   i     radius            mass              density           energy            temp              abar              zbar
    1  6.9599699824E+04  7.9728457913E-13  1.1230034696E+06  4.3842153435E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    2  8.7379354183E+04  1.5776757536E-12  1.1230034581E+06  4.3842153156E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    3  1.1031472576E+05  3.1746198184E-12  1.1230034394E+06  4.3842152703E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    4  1.3660348124E+05  6.0280458748E-12  1.1230034126E+06  4.3842152054E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    5  1.6684145684E+05  1.0982549221E-11  1.1230033747E+06  4.3842151137E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    6  2.0122353220E+05  1.9267595953E-11  1.1230033225E+06  4.3842149872E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    7  2.3998426517E+05  3.2684324409E-11  1.1230032520E+06  4.3842148162E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    8  2.8336138117E+05  5.3803827274E-11  1.1230031583E+06  4.3842145893E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    9  3.3157925628E+05  8.6209121323E-11  1.1230030360E+06  4.3842142929E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   10  3.8485716052E+05  1.3479998276E-10  1.1230028785E+06  4.3842139113E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   11  4.4340779694E+05  2.0615840850E-10  1.1230026784E+06  4.3842134265E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   12  5.0743887430E+05  3.0898843371E-10  1.1230024272E+06  4.3842128178E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   13  5.7715408432E+05  4.5463855815E-10  1.1230021153E+06  4.3842120619E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   14  6.5275067976E+05  6.5770759184E-10  1.1230017317E+06  4.3842111325E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   15  7.3442213520E+05  9.3675931798E-10  1.1230012642E+06  4.3842099999E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   16  8.2236494144E+05  1.3151775276E-09  1.1230006994E+06  4.3842086313E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   17  9.1675937078E+05  1.8220342377E-09  1.1230000221E+06  4.3842069901E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   18  1.0177869445E+06  2.4932217109E-09  1.1229992158E+06  4.3842050363E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   19  1.1256261156E+06  3.3726597785E-09  1.1229982621E+06  4.3842027256E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   20  1.2404513277E+06  4.5136613964E-09  1.1229971412E+06  4.3842000096E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   21  1.3624333498E+06  5.9804695695E-09  1.1229958313E+06  4.3841968356E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   22  1.4917415673E+06  7.8500045545E-09  1.1229943087E+06  4.3841931461E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   23  1.6285412587E+06  1.0213745282E-08  1.1229925476E+06  4.3841888789E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   24  1.7729949007E+06  1.3179857502E-08  1.1229905204E+06  4.3841839669E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   25  1.9252625257E+06  1.6875536507E-08  1.1229881971E+06  4.3841783374E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   26  2.0854968445E+06  2.1449427847E-08  1.1229855457E+06  4.3841719129E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   27  2.2538524777E+06  2.7074650634E-08  1.1229825317E+06  4.3841646097E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   28  2.4304852724E+06  3.3951939693E-08  1.1229791181E+06  4.3841563384E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   29  2.6155450752E+06  4.2312758775E-08  1.1229752656E+06  4.3841470033E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   30  2.8091803737E+06  5.2423086424E-08  1.1229709319E+06  4.3841365026E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   31  3.0115363936E+06  6.4587270287E-08  1.1229660726E+06  4.3841247279E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   32  3.2227574450E+06  7.9152417316E-08  1.1229606400E+06  4.3841115642E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
