   i     radius            mass              density           energy            temp              abar              zbar
    1  6.9599699824E+04  1.9555699851E-12  2.7544893180E+06  7.5422661923E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    2  8.5524845108E+04  3.6285085035E-12  2.7544892792E+06  7.5422661298E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    3  1.0652656843E+05  7.0117279910E-12  2.7544892157E+06  7.5422660277E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    4  1.3028950893E+05  1.2828609357E-11  2.7544891273E+06  7.5422658854E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    5  1.5740365660E+05  2.2620160307E-11  2.7544890046E+06  7.5422656880E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    6  1.8800016805E+05  3.8541261319E-11  2.7544888385E+06  7.5422654206E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    7  2.2227697143E+05  6.3699291575E-11  2.7544886174E+06  7.5422650649E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    8  2.6041200080E+05  1.0243164459E-10  2.7544883280E+06  7.5422645992E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    9  3.0258309165E+05  1.6068861041E-10  2.7544879547E+06  7.5422639985E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   10  3.4896064920E+05  2.4647929934E-10  2.7544874796E+06  7.5422632340E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   11  3.9971231545E+05  3.7041930615E-10  2.7544868822E+06  7.5422622728E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   12  4.5500128930E+05  5.4637250614E-10  2.7544861392E+06  7.5422610772E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   13  5.1498841944E+05  7.9221535953E-10  2.7544852244E+06  7.5422596051E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   14  5.7982845418E+05  1.1307050578E-09  2.7544841083E+06  7.5422578092E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   15  6.4967338697E+05  1.5905080295E-09  2.7544827582E+06  7.5422556366E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   16  7.2467659906E+05  2.2074109607E-09  2.7544811375E+06  7.5422530287E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   17  8.0498003847E+05  3.0255590442E-09  2.7544792062E+06  7.5422499211E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   18  8.9072865496E+05  4.0990796278E-09  2.7544769201E+06  7.5422462424E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   19  9.8206327443E+05  5.4937417441E-09  2.7544742308E+06  7.5422419150E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   20  1.0791196834E+06  7.2888392779E-09  2.7544710856E+06  7.5422368538E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   21  1.1820350932E+06  9.5794438557E-09  2.7544674269E+06  7.5422309665E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   22  1.2909414046E+06  1.2478672164E-08  2.7544631926E+06  7.5422241528E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   23  1.4059714011E+06  1.6120473109E-08  2.7544583152E+06  7.5422163044E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   24  1.5272516229E+06  2.0662343630E-08  2.7544527221E+06  7.5422073044E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   25  1.6549080942E+06  2.6288683037E-08  2.7544463355E+06  7.5421970273E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   26  1.7890625910E+06  3.3214147271E-08  2.7544390715E+06  7.5421853386E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
