   i     radius            mass              density           energy            temp              abar              zbar
    1  6.9599699824E+04  1.9543792083E-10  2.7528109019E+08  7.3511681493E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    2  7.7524723236E+04  2.7008927978E-10  2.7528106032E+08  7.3511678183E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    3  8.9553129598E+04  4.1632155570E-10  2.7528100883E+08  7.3511672476E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    4  1.0237980173E+05  6.2205583654E-10  2.7528094576E+08  7.3511665486E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    5  1.1636735115E+05  9.1343968693E-10  2.7528086737E+08  7.3511656798E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    6  1.3152530155E+05  1.3189072345E-09  2.7528077110E+08  7.3511646128E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    7  1.4789505921E+05  1.8751983521E-09  2.7528065391E+08  7.3511633140E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    8  1.6551618792E+05  2.6284971133E-09  2.7528051242E+08  7.3511617459E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    9  1.8442328490E+05  3.6360778696E-09  2.7528034290E+08  7.3511598672E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   10  2.0465242287E+05  4.9686269975E-09  2.7528014126E+08  7.3511576323E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   11  2.2623920771E+05  6.7125743621E-09  2.7527990295E+08  7.3511549912E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   12  2.4921820568E+05  8.9727284602E-09  2.7527962303E+08  7.3511518889E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   13  2.7362321922E+05  1.1875277438E-08  2.7527929612E+08  7.3511482657E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   14  2.9948788557E+05  1.5571209193E-08  2.7527891635E+08  7.3511440567E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   15  3.2684500169E+05  2.0239961778E-08  2.7527847736E+08  7.3511391914E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   16  3.5572678580E+05  2.6093562167E-08  2.7527797229E+08  7.3511335937E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   17  3.8616477425E+05  3.3381133812E-08  2.7527739375E+08  7.3511271817E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   18  4.1818768821E+05  4.2393202100E-08  2.7527673384E+08  7.3511198679E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   19  4.5182828014E+05  5.3468994104E-08  2.7527598400E+08  7.3511115574E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   20  4.8711681235E+05  6.7000853818E-08  2.7527513512E+08  7.3511021492E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   21  5.2408315233E+05  8.3441224623E-08  2.7527417745E+08  7.3510915352E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   22  5.6275649137E+05  1.0330957947E-07  2.7527310062E+08  7.3510796006E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   23  6.0316579380E+05  1.2720026732E-07  2.7527189359E+08  7.3510662229E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   24  6.4533949416E+05  1.5579064210E-07  2.7527054464E+08  7.3510512722E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   25  6.8930676173E+05  1.8985097302E-07  2.7526904129E+08  7.3510346103E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
