   i     radius            mass              density           energy            temp              abar              zbar
    1  6.9599699824E+04  5.7614501807E-12  8.1152056678E+06  1.3891517525E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    2  8.3343161349E+04  9.8928086772E-12  8.1152054923E+06  1.3891517362E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    3  1.0200317986E+05  1.8136388894E-11  8.1152052034E+06  1.3891517094E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    4  1.2279248107E+05  3.1639163794E-11  8.1152048132E+06  1.3891516732E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    5  1.4627662941E+05  5.3485306492E-11  8.1152042855E+06  1.3891516242E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    6  1.7252759519E+05  8.7757721487E-11  8.1152035866E+06  1.3891515593E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    7  2.0168660937E+05  1.4019767049E-10  8.1152026754E+06  1.3891514748E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    8  2.3388575128E+05  2.1863559003E-10  8.1152015042E+06  1.3891513661E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    9  2.6924864114E+05  3.3355701410E-10  8.1152000184E+06  1.3891512282E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   10  3.0790251708E+05  4.9882610686E-10  8.1151981554E+06  1.3891510552E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   11  3.4996648946E+05  7.3246818588E-10  8.1151958446E+06  1.3891508408E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   12  3.9556216949E+05  1.0576781734E-09  8.1151930059E+06  1.3891505773E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   13  4.4480062333E+05  1.5038528469E-09  8.1151895505E+06  1.3891502566E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   14  4.9778881414E+05  2.1078730282E-09  8.1151853796E+06  1.3891498695E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   15  5.5464415086E+05  2.9157628518E-09  8.1151803828E+06  1.3891494057E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   16  6.1547482058E+05  3.9841856482E-09  8.1151744388E+06  1.3891488540E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   17  6.8038710670E+05  5.3824089935E-09  8.1151674144E+06  1.3891482020E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   18  7.4948440255E+05  7.1944235610E-09  8.1151591639E+06  1.3891474363E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   19  8.2286937543E+05  9.5213952603E-09  8.1151495282E+06  1.3891465419E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   20  9.0064377680E+05  1.2484371792E-08  8.1151383345E+06  1.3891455030E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   21  9.8290381484E+05  1.6227072731E-08  8.1151253958E+06  1.3891443021E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   22  1.0697459084E+06  2.0919367281E-08  8.1151105102E+06  1.3891429205E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   23  1.1612662102E+06  2.6760946107E-08  8.1150934596E+06  1.3891413379E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   24  1.2575656342E+06  3.3985796531E-08  8.1150740083E+06  1.3891395326E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   25  1.3587311554E+06  4.2865250132E-08  8.1150519060E+06  1.3891374811E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   26  1.4648530473E+06  5.3713831701E-08  8.1150268839E+06  1.3891351587E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   27  1.5760228169E+06  6.6894521753E-08  8.1149986546E+06  1.3891325386E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   28  1.6923252843E+06  8.2823496546E-08  8.1149669129E+06  1.3891295925E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   29  1.8138481203E+06  1.0197733240E-07  8.1149313331E+06  1.3891262901E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   30  1.9406767442E+06  1.2489907363E-07  8.1148915699E+06  1.3891225994E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   31  2.0728979240E+06  1.5220605838E-07  8.1148472562E+06  1.3891184864E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   32  2.2105936184E+06  1.8459644961E-07  8.1147980044E+06  1.3891139150E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   33  2.3538464575E+06  2.2285852167E-07  8.1147434047E+06  1.3891088472E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   34  2.5027381205E+06  2.6787929155E-07  8.1146830240E+06  1.3891032429E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   35  2.6573478916E+06  3.2065352638E-07  8.1146164068E+06  1.3890970596E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   36  2.8177577991E+06  3.8229569124E-07  8.1145430718E+06  1.3890902528E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
