   i     radius            mass              density           energy            temp              abar              zbar
    1  6.9599699824E+04  1.7691629308E-11  2.4919282322E+07  2.4843522361E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    2  8.1231066074E+04  2.8126271952E-11  2.4919281445E+07  2.4843521929E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    3  9.7560577072E+04  4.8726898861E-11  2.4919279986E+07  2.4843521209E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    4  1.1548572265E+05  8.0822179202E-11  2.4919278077E+07  2.4843520268E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    5  1.3549577833E+05  1.3053378492E-10  2.4919275567E+07  2.4843519030E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    6  1.5763923393E+05  2.0555997240E-10  2.4919272322E+07  2.4843517430E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    7  1.8201325811E+05  3.1641322771E-10  2.4919268184E+07  2.4843515390E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    8  2.0870769547E+05  4.7704669639E-10  2.4919262971E+07  2.4843512819E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
    9  2.3780881504E+05  7.0571489379E-10  2.4919256476E+07  2.4843509616E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   10  2.6940315420E+05  1.0260142227E-09  2.4919248467E+07  2.4843505666E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   11  3.0357368220E+05  1.4680390409E-09  2.4919238681E+07  2.4843500841E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   12  3.4040176194E+05  2.0697625473E-09  2.4919226826E+07  2.4843494995E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   13  3.7996115729E+05  2.8784757980E-09  2.4919212583E+07  2.4843487972E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   14  4.2233696897E+05  3.9529570485E-09  2.4919195590E+07  2.4843479592E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   15  4.6760435143E+05  5.3651296407E-09  2.4919175454E+07  2.4843469663E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   16  5.1583878923E+05  7.2025507982E-09  2.4919151744E+07  2.4843457972E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   17  5.6711321237E+05  9.5709125198E-09  2.4919123990E+07  2.4843444286E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   18  6.2150068112E+05  1.2597040898E-08  2.4919091679E+07  2.4843428353E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   19  6.7907195917E+05  1.6432010884E-08  2.4919054254E+07  2.4843409898E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   20  7.3989681380E+05  2.1254766659E-08  2.4919011115E+07  2.4843388626E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   21  8.0404363946E+05  2.7276033465E-08  2.4918961613E+07  2.4843364216E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   22  8.7157969897E+05  3.4742661022E-08  2.4918905051E+07  2.4843336324E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   23  9.4258114351E+05  4.3943771715E-08  2.4918840671E+07  2.4843304577E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   24  1.0171052701E+06  5.5212579575E-08  2.4918767675E+07  2.4843268582E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   25  1.0952164348E+06  6.8934926781E-08  2.4918685208E+07  2.4843227916E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   26  1.1769789228E+06  8.5554833009E-08  2.4918592352E+07  2.4843182127E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   27  1.2624553080E+06  1.0558091934E-07  2.4918488135E+07  2.4843130736E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   28  1.3517066921E+06  1.2959360573E-07  2.4918371521E+07  2.4843073231E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   29  1.4447949077E+06  1.5825353798E-07  2.4918241411E+07  2.4843009071E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   30  1.5417802552E+06  1.9230950325E-07  2.4918096642E+07  2.4842937682E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   31  1.6427203046E+06  2.3260685154E-07  2.4917935985E+07  2.4842858458E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   32  1.7476767562E+06  2.8009999311E-07  2.4917758136E+07  2.4842770756E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   33  1.8567051542E+06  3.3585865352E-07  2.4917561729E+07  2.4842673902E+17  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
