   i     radius            mass              density           energy            temp              abar              zbar
   44  6.1184599672E+06  7.4231498881E-07  1.5389480313E+06  5.3221585809E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   45  6.4356030641E+06  8.6382383723E-07  1.5389218880E+06  5.3221034516E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   46  6.7627069595E+06  1.0023383388E-06  1.5388935404E+06  5.3220436734E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   47  7.0998871241E+06  1.1598498508E-06  1.5388628495E+06  5.3219789532E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   48  7.4472521391E+06  1.3385358078E-06  1.5388296710E+06  5.3219089866E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   49  7.8049137449E+06  1.5407780356E-06  1.5387938542E+06  5.3218334556E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   50  8.1729777490E+06  1.7691724449E-06  1.5387552429E+06  5.3217520306E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   51  8.5515544929E+06  2.0265502653E-06  1.5387136741E+06  5.3216643678E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   52  8.9407469869E+06  2.3159865015E-06  1.5386689793E+06  5.3215701114E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   53  9.3406627019E+06  2.6408245559E-06  1.5386209827E+06  5.3214688906E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   54  9.7514070143E+06  3.0046895999E-06  1.5385695024E+06  5.3213603213E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   55  1.0173086701E+07  3.4115100808E-06  1.5385143493E+06  5.3212440043E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   56  1.0605799978E+07  3.8655270972E-06  1.5384553284E+06  5.3211195284E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   57  1.1049651113E+07  4.3713284199E-06  1.5383922372E+06  5.3209864657E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   58  1.1504742423E+07  4.9338623376E-06  1.5383248661E+06  5.3208443737E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   59  1.1971171085E+07  5.5584546643E-06  1.5382529989E+06  5.3206927959E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   60  1.2449039043E+07  6.2508441204E-06  1.5381764115E+06  5.3205312591E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   61  1.2938446466E+07  7.0171986123E-06  1.5380948723E+06  5.3203592741E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   62  1.3439492749E+07  7.8641413022E-06  1.5380081424E+06  5.3201763362E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   63  1.3952268968E+07  8.7987622203E-06  1.5379159764E+06  5.3199819269E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   64  1.4476874949E+07  9.8286744674E-06  1.5378181196E+06  5.3197755082E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   65  1.5013410988E+07  1.0962030679E-05  1.5377143092E+06  5.3195565244E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
   66  1.5561969705E+07  1.2207534054E-05  1.5376042756E+06  5.3193244059E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
