1.00e+04 0.0000 0.5650 0.4313 0.0012 0.0006 0.0009 0.0004 0.0001 0.0000 0.0000 0.0000 0.0004 0.0000 
2.00e+04 0.0000 0.5629 0.4323 0.0012 0.0009 0.0015 0.0007 0.0001 0.0000 0.0000 0.0000 0.0004 0.0001 
3.00e+04 0.0000 0.5608 0.4333 0.0012 0.0011 0.0021 0.0009 0.0001 0.0000 0.0000 0.0000 0.0004 0.0001 
4.00e+04 0.0000 0.5583 0.4345 0.0012 0.0014 0.0027 0.0012 0.0001 0.0000 0.0000 0.0000 0.0004 0.0001 
5.00e+04 0.0000 0.5481 0.4389 0.0011 0.0025 0.0058 0.0027 0.0003 0.0000 0.0000 0.0000 0.0005 0.0001 
6.00e+04 0.0000 0.5236 0.4460 0.0011 0.0049 0.0152 0.0071 0.0008 0.0002 0.0000 0.0000 0.0010 0.0001 
7.00e+04 0.0000 0.4878 0.4527 0.0010 0.0080 0.0310 0.0146 0.0018 0.0006 0.0000 0.0001 0.0020 0.0002 
8.00e+04 0.0000 0.4450 0.4583 0.0009 0.0116 0.0515 0.0244 0.0030 0.0012 0.0000 0.0002 0.0035 0.0003 
9.00e+04 0.0000 0.3889 0.4630 0.0008 0.0160 0.0799 0.0379 0.0048 0.0021 0.0000 0.0003 0.0058 0.0005 
1.00e+05 0.0000 0.3309 0.4685 0.0007 0.0205 0.1089 0.0518 0.0066 0.0030 0.0000 0.0004 0.0080 0.0007 
1.10e+05 0.0000 0.2724 0.4739 0.0006 0.0251 0.1381 0.0657 0.0084 0.0039 0.0001 0.0005 0.0103 0.0008 
1.20e+05 0.0000 0.2134 0.4794 0.0005 0.0298 0.1676 0.0798 0.0103 0.0048 0.0001 0.0006 0.0126 0.0010 
1.30e+05 0.0000 0.1725 0.4768 0.0004 0.0324 0.1920 0.0916 0.0119 0.0057 0.0001 0.0007 0.0149 0.0011 
1.40e+05 0.0000 0.1336 0.4732 0.0003 0.0348 0.2157 0.1030 0.0134 0.0065 0.0001 0.0008 0.0172 0.0013 
1.50e+05 0.0000 0.1064 0.4661 0.0003 0.0361 0.2351 0.1124 0.0148 0.0073 0.0001 0.0009 0.0192 0.0014 
1.60e+05 0.0000 0.0895 0.4628 0.0003 0.0370 0.2465 0.1179 0.0155 0.0078 0.0001 0.0010 0.0204 0.0014 
1.70e+05 0.0000 0.0727 0.4595 0.0002 0.0378 0.2578 0.1234 0.0163 0.0082 0.0001 0.0010 0.0215 0.0015 
1.80e+05 0.0000 0.0639 0.4528 0.0002 0.0378 0.2667 0.1277 0.0169 0.0086 0.0001 0.0011 0.0226 0.0016 
1.90e+05 0.0000 0.0551 0.4461 0.0002 0.0378 0.2755 0.1321 0.0176 0.0091 0.0001 0.0011 0.0238 0.0016 
2.00e+05 0.0000 0.0463 0.4394 0.0002 0.0378 0.2844 0.1364 0.0182 0.0095 0.0001 0.0012 0.0249 0.0017 
2.10e+05 0.0000 0.0375 0.4327 0.0002 0.0378 0.2932 0.1407 0.0189 0.0099 0.0001 0.0012 0.0260 0.0018 
2.20e+05 0.0000 0.0287 0.4261 0.0001 0.0378 0.3021 0.1451 0.0195 0.0103 0.0001 0.0013 0.0271 0.0018 
2.30e+05 0.0000 0.0229 0.4196 0.0001 0.0376 0.3092 0.1485 0.0200 0.0107 0.0001 0.0013 0.0280 0.0019 
2.40e+05 0.0000 0.0200 0.4161 0.0001 0.0375 0.3128 0.1503 0.0203 0.0109 0.0001 0.0013 0.0285 0.0019 
2.50e+05 0.0000 0.0172 0.4133 0.0001 0.0374 0.3161 0.1520 0.0206 0.0110 0.0001 0.0014 0.0290 0.0019 
2.60e+05 0.0000 0.0143 0.4104 0.0001 0.0373 0.3194 0.1536 0.0208 0.0112 0.0001 0.0014 0.0294 0.0019 
2.70e+05 0.0000 0.0118 0.4091 0.0001 0.0374 0.3216 0.1546 0.0210 0.0113 0.0001 0.0014 0.0296 0.0020 
2.80e+05 0.0000 0.0109 0.4081 0.0001 0.0374 0.3227 0.1552 0.0210 0.0114 0.0001 0.0014 0.0298 0.0020 
2.90e+05 0.0000 0.0100 0.4071 0.0001 0.0373 0.3238 0.1557 0.0211 0.0114 0.0001 0.0014 0.0299 0.0020 
3.00e+05 0.0000 0.0091 0.4062 0.0001 0.0373 0.3248 0.1562 0.0212 0.0115 0.0001 0.0014 0.0301 0.0020 
3.10e+05 0.0000 0.0081 0.4057 0.0001 0.0373 0.3256 0.1566 0.0212 0.0115 0.0001 0.0014 0.0302 0.0020 
3.20e+05 0.0000 0.0072 0.4054 0.0001 0.0374 0.3263 0.1570 0.0213 0.0115 0.0001 0.0014 0.0302 0.0020 
3.30e+05 0.0000 0.0063 0.4050 0.0001 0.0374 0.3270 0.1573 0.0213 0.0116 0.0001 0.0014 0.0303 0.0020 
3.40e+05 0.0000 0.0054 0.4047 0.0001 0.0374 0.3277 0.1576 0.0214 0.0116 0.0001 0.0014 0.0304 0.0021 
3.50e+05 0.0000 0.0045 0.4044 0.0001 0.0375 0.3284 0.1580 0.0214 0.0116 0.0001 0.0014 0.0305 0.0021 
3.60e+05 0.0000 0.0036 0.4041 0.0001 0.0375 0.3291 0.1583 0.0215 0.0117 0.0001 0.0014 0.0305 0.0021 
3.70e+05 0.0000 0.0027 0.4041 0.0001 0.0376 0.3296 0.1585 0.0215 0.0117 0.0001 0.0014 0.0306 0.0021 
3.80e+05 0.0000 0.0018 0.4041 0.0001 0.0376 0.3301 0.1588 0.0215 0.0117 0.0001 0.0014 0.0306 0.0021 
3.90e+05 0.0000 0.0009 0.4041 0.0001 0.0377 0.3306 0.1590 0.0216 0.0117 0.0001 0.0014 0.0307 0.0021 
4.00e+05 0.0000 0.0006 0.4040 0.0001 0.0377 0.3308 0.1591 0.0216 0.0117 0.0001 0.0014 0.0307 0.0021 
4.10e+05 0.0000 0.0006 0.4038 0.0001 0.0377 0.3309 0.1592 0.0216 0.0117 0.0001 0.0014 0.0307 0.0021 
4.20e+05 0.0000 0.0006 0.4036 0.0001 0.0377 0.3310 0.1592 0.0216 0.0117 0.0001 0.0014 0.0307 0.0021 
4.30e+05 0.0000 0.0006 0.4034 0.0001 0.0377 0.3312 0.1593 0.0216 0.0117 0.0001 0.0014 0.0308 0.0022 
4.40e+05 0.0000 0.0006 0.4032 0.0001 0.0376 0.3313 0.1594 0.0216 0.0117 0.0001 0.0014 0.0308 0.0022 
4.50e+05 0.0000 0.0006 0.4030 0.0001 0.0376 0.3314 0.1594 0.0216 0.0118 0.0001 0.0014 0.0308 0.0022 
4.60e+05 0.0000 0.0006 0.4028 0.0001 0.0376 0.3315 0.1595 0.0217 0.0118 0.0001 0.0014 0.0308 0.0022 
4.70e+05 0.0000 0.0006 0.4026 0.0001 0.0376 0.3316 0.1595 0.0217 0.0118 0.0001 0.0014 0.0308 0.0022 
