   0.0000000000000000E+00  2.0296182537854591-115  3.3279599086005481-108  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  1.1826452215157866-134  7.6863501719765874-118  0.0000000000000000E+00
   0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  1.0746931055717751-121  2.6433236430019715-124  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  4.2334332908643992-263
   1.4647185914577377-133  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  1.2591389776257704-141  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
   0.0000000000000000E+00  0.0000000000000000E+00  4.7208776045705781-150  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
   0.0000000000000000E+00  0.0000000000000000E+00  1.3327873348332237-154  0.0000000000000000E+00  5.8764879691310039-125  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  2.7843726840101151-158
   0.0000000000000000E+00  1.6111357109275881-186  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  8.0813772488076234E-90  8.5397000225965548E-89  0.0000000000000000E+00  3.1721778257576131-236
   0.0000000000000000E+00  0.0000000000000000E+00  2.0915044401492262E-94  4.9610850923302474E-98  0.0000000000000000E+00  4.8871298030829361-259  0.0000000000000000E+00  0.0000000000000000E+00  5.1481137595782600-115  8.0517991308013197-108
   0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  3.3729790989309397-134  1.9900101998891651-117  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
   2.8214458962024199-121  7.1629273992235182-124  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  3.1487026025506763-262  4.2588193457153581-133  0.0000000000000000E+00  0.0000000000000000E+00
   0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  3.8828685618482173-141  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  1.5504575838519606-149
   0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00  4.0196858823281707-154
